id,tweet_text,favourites_count,created_at,retweet_count,sentiment,polarity
1520031346097369091,moderna files emergency covid vaccine children months years saying effective,5132,2022-04-29 13:24:48+00:00,1304,positive,0.6
1520031345459843073,says change definition pandemic change definition vaccine patent sars,71206,2022-04-29 13:24:48+00:00,6,neutral,0.0
1520031344469979139,kellyanne conway expert medical professional evidence reveals editing covid,84267,2022-04-29 13:24:47+00:00,56,positive,0.05
1520031344063139840,china tough spot covid lockdowns economy china beige book explains,21916,2022-04-29 13:24:47+00:00,3,negative,-0.3888888888888889
1520031343169654785,tucker last night discuss shanghai lockdown logic zero covid created human rights catastroph,5048,2022-04-29 13:24:47+00:00,3745,neutral,0.0
1520031342746124289,late saturday afternoon salesperson verbally harassed threatened trapped inside shop alone,48012,2022-04-29 13:24:47+00:00,4,negative,-0.25
1520031339562422273,point view covid often severely prevalent argue,86872,2022-04-29 13:24:46+00:00,8,neutral,0.0
1520031339491250177,year mother never criminal record taxes work full time volunteer homeschool,53,2022-04-29 13:24:46+00:00,7132,positive,0.275
1520031337909874689,siren covid special remix feat,98,2022-04-29 13:24:46+00:00,0,positive,0.35714285714285715
1520031337759006723,immunity fraud,1151,2022-04-29 13:24:46+00:00,164,neutral,0.0
1520031337113014273,know many read texts send hopefully vomiting stop kidney,98748,2022-04-29 13:24:46+00:00,63,positive,0.5
1520031336198811650,citizen guaranteed workplace safety theyre going 2put position,1716,2022-04-29 13:24:46+00:00,0,neutral,0.0
1520031335909273600,going blind need injections specialist rebate anything visit 1000,551,2022-04-29 13:24:45+00:00,15,negative,-0.5
1520031334751686657,stupidisforever also frequently fatal,281983,2022-04-29 13:24:45+00:00,0,positive,0.1
1520031334479060992,domestic covid identity documents must resisted craig murray,0,2022-04-29 13:24:45+00:00,0,neutral,0.0
1520031334286118912,exactly covid emergency month year olds could possibly justify emergency authorizati,50147,2022-04-29 13:24:45+00:00,356,positive,0.125
1520031333409595394,covid excess mortalities years later,176925,2022-04-29 13:24:45+00:00,0,neutral,0.0
1520031332071473154,crisis current central govt demonetization covid pandemic oxygen crisis farm laws coal shortage human,52353,2022-04-29 13:24:45+00:00,14,neutral,0.0
1520031331882659842,thecosmos fact,286991,2022-04-29 13:24:44+00:00,2,neutral,0.0
1520031331354304512,covid fully vaccinated forgot part,172,2022-04-29 13:24:44+00:00,0,neutral,0.0
1520031330393890816,luna incredibly angry read news good travel time foreign travelers,5125,2022-04-29 13:24:44+00:00,21,positive,0.024999999999999984
1520031329915752448,zoellner well sadly covid took toll trunpy dumpy called hoax,11392,2022-04-29 13:24:44+00:00,0,negative,-0.5
1520031329307414528,australia amongst highest covid infection rates world year date australia covid death,3883,2022-04-29 13:24:44+00:00,6,neutral,0.0
1520031329043496965,digital directs kerala prisoners parole covid surrender within weeks read story,897,2022-04-29 13:24:44+00:00,4,neutral,0.0
1520031328326066177,yeah skipped stages grief first found covid diagnosis roundhouse kicking back,2033,2022-04-29 13:24:44+00:00,0,negative,-0.18333333333333335
1520031328275734528,netflix tanking despite captive audience covid years woke programming,5352,2022-04-29 13:24:44+00:00,0,positive,0.2
1520031326178480128,woooohooo kids want birthday parties like every daycare dropoff stop feeling like covid,13014,2022-04-29 13:24:43+00:00,0,neutral,0.0
